高铁/火车站名称,餐厅编码,餐厅名称,状态,套餐类型,套餐内容,套餐供应时间,城市,站点类型,境内外,国家,省份,安检类型,位置指引
贵阳北站,N02998,书亦烧仙草,正常使用,餐食体验厅,"饮品：【书亦烧仙草大杯 * 1,牛奶烧仙草大杯 * 1】,小食：【任意15元零食 * 1】",09:00-18:00,贵阳市,高铁,境内,中国,贵州省,安检后,夹层26B、27B检票口楼上
北京朝阳站,N03044,真功夫,正常使用,餐食体验厅,"饮品：【金杏蜜桃汁/百事可乐/热豆浆 * 1】,小食：【香滑蒸蛋/外婆菜 * 1】,配菜：【生菜王/西兰花 * 1】,主食：【排骨拼鸡腿肉饭/冬(香)菇鸡腿肉饭/酸菜卤肉饭/鱼香茄子饭/土豆烧肉饭 * 1】",10:00-20:00,北京市,高铁,境内,中国,北京市,安检后,二层候车室
清河站,N03045,真功夫,正常使用,餐食体验厅,"饮品：【金杏蜜桃汁/百事可乐/热豆浆 * 1】,小食：【香滑蒸蛋/外婆菜 * 1】,配菜：【生菜王/西兰花 * 1】,主食：【排骨拼鸡腿肉饭/冬(香)菇鸡腿肉饭/酸菜卤肉饭/鱼香茄子饭/土豆烧肉饭  * 1】",10:00-19:00,北京市,高铁,境内,中国,北京市,安检后,过安检后走楼梯或者电梯上二层夹层
广州南站,N03163,遇见小面(A27检票口上方),正常使用,餐食体验厅,"饮品：【可乐/酸梅汤（2选1） * 1】,配菜：【卤蛋 * 1】,主食：【超级碗(多拼浇头面)+卤蛋+ * 1】",06:00-22:00,广州市,高铁,境内,中国,广东省,安检后,3楼候车室( A27检票口上方)
深圳北站,N03166,遇见小面(A16检票口楼上),正常使用,餐食体验厅,"饮品：【可乐/酸梅汤（2选1） * 1】,配菜：【卤蛋 * 1】,主食：【超级碗(多拼浇头面) * 1】",07:00-22:00,深圳市,高铁,境内,中国,广东省,安检后,A16检票口楼上
合肥南站,N03305,回味鸭血粉丝汤,正常使用,餐食体验厅,"饮品：【酸梅汁 * 1】,小食：【鲜肉汤包 * 1】,主食：【招牌面 * 1】",06:30-20:00,合肥市,高铁,境内,中国,安徽省,安检后,候车厅夹层，1A检票口附近
深圳北站,N03368,德克士(A区）,正常使用,餐食体验厅,"饮品：【可乐（中） * 1】,配菜：【辣翅 * 1,薯条（小） * 1】,主食：【南洋炸鸡卷 * 1】",07:00-20:00,深圳市,高铁,境内,中国,广东省,安检后,夹层，A2，A3检票口楼上
深圳北站,N03369,康师傅私房牛肉面（A区）,正常使用,餐食体验厅,"饮品：【可乐 * 1】,主食：【至臻金牌半筋半肉面 * 1】",06:00-21:00,深圳市,高铁,境内,中国,广东省,安检后,夹层，A2，A3检票口楼上
佛山西站,N03383,蒸浏记,正常使用,餐食体验厅,"汤品：【玉米猪骨汤 * 1】,配菜：【百合南瓜 * 1】,主食：【香菇煨鸡 * 1,米饭 * 1】",09:30-21:00,佛山市,高铁,境内,中国,广东省,安检后,候车层3号检票口右边
广州南站,N03384,蒸浏记(换乘区),正常使用,餐食体验厅,"汤品：【玉米猪骨汤 * 1】,配菜：【百合南瓜 * 1】,主食：【香菇煨鸡 * 1,米饭 * 1】",09:30-21:00,广州市,高铁,境内,中国,广东省,安检后,换乘区内9-10号检票口中间
广州南站,N03385,蒸浏记(三楼夹层),正常使用,餐食体验厅,"汤品：【玉米猪骨汤 * 1】,配菜：【百合南瓜 * 1】,主食：【香菇煨鸡 * 1,米饭 * 1】",09:30-21:00,广州市,高铁,境内,中国,广东省,安检后,候车层B5检票口楼上，夹层
长沙南站,N03386,蒸浏记(安检前东广场),正常使用,餐食体验厅,"汤品：【海带猪骨汤/玉米猪骨汤 * 1】,配菜：【鸡汁油豆腐/百合蒸南瓜/白灼时蔬 * 1】,主食：【酱辣椒蒸肉 * 1,白米饭 * 1】",08:00-20:00,长沙市,高铁,境内,中国,湖南省,安检前,东A检票口楼下
珠海站,N03388,澳门葡钜手信,正常使用,餐食体验厅,主食：【酥蛋卷/手提紫菜肉松凤凰卷/手提玫瑰卷（伴手礼三选一） * 1】,08:00-21:00,珠海市,高铁,境内,中国,广东省,安检后,检票口右侧
惠阳站,N03399,舜华鸭蛋面,正常使用,餐食体验厅,"汤品：【老鸭汤 * 1】,饮品：【饮料 * 1】,主食：【舜华牛肉饭 * 1】",07:00-20:30,惠州市,高铁,境内,中国,广东省,安检后,安检口左边
长沙南站,N03400,舜华鸭蛋面,正常使用,餐食体验厅,"汤品：【老鸭汤 * 1】,小食：【小吃 * 1】,主食：【舜华牛肉饭 * 1】",06:30-20:00,长沙市,高铁,境内,中国,湖南省,安检后,B8、B9楼上
株洲西站,N03401,舜华鸭蛋面,正常使用,餐食体验厅,"汤品：【老鸭汤 * 1】,小食：【小吃 * 1】,主食：【舜华牛肉饭 * 1】",07:00-20:00,株洲市,高铁,境内,中国,湖南省,安检后,安检口左边
衡阳东站,N03402,舜华鸭蛋面,正常使用,餐食体验厅,"汤品：【老鸭汤 * 1】,小食：【小吃 * 1】,主食：【舜华牛肉饭 * 1】",06:00-20:00,衡阳市,高铁,境内,中国,湖南省,安检后,候车室一楼
衡山西站,N03403,舜华鸭蛋面,正常使用,餐食体验厅,"汤品：【老鸭汤 * 1】,小食：【小吃 * 1】,主食：【舜华牛肉饭 * 1】",09:00-19:30,衡阳市,高铁,境内,中国,湖南省,安检后,安检口右边
耒阳西站,N03404,舜华鸭蛋面,正常使用,餐食体验厅,"汤品：【老鸭汤 * 1】,小食：【小吃 * 1】,主食：【舜华牛肉饭 * 1】",07:30-20:00,衡阳市,高铁,境内,中国,湖南省,安检后,检票口旁
岳阳东站,N03405,舜华鸭蛋面,正常使用,餐食体验厅,"汤品：【老鸭汤 * 1】,小食：【小吃 * 1】,主食：【舜华牛肉饭 * 1】",07:00-20:00,岳阳市,高铁,境内,中国,湖南省,安检后,候车厅一楼
杭州西站,N03424,康师傅私房牛肉面,正常使用,餐食体验厅,"饮品：【百事可乐 * 1】,主食：【馥郁七彩肥牛炒饭 * 1】",08:00-20:00,杭州市,高铁,境内,中国,浙江省,安检后,出发层东安检口5层（东南角5层）
杭州东站,N03425,康师傅私房牛肉面(到达层),正常使用,餐食体验厅,"饮品：【百事可乐 * 1】,配菜：【溏心蛋 * 1,海带 * 1】,主食：【牛肉捞饭 * 1】",07:30-22:00,杭州市,高铁,境内,中国,浙江省,到达区,东广场负一楼
南宁东站,N03504,真功夫,正常使用,餐食体验厅,"汤品：【四季猪骨汤/金杏蜜桃汁/百事可乐/热豆浆 * 1】,小食：【香滑蒸蛋/外婆菜/咖喱鱼丸 * 1】,配菜：【生菜王/田园彩豆 * 1】,主食：【香菇鸡腿肉饭/酸菜卤肉饭/鱼香茄子饭/排骨拼鸡腿肉饭 * 1】",10:00-20:00,南宁市,高铁,境内,中国,广西壮族自治区,安检后,候车厅北面3楼
南宁东站,N03505,真功夫（二店）,正常使用,餐食体验厅,"汤品：【四季猪骨汤/金杏蜜桃汁/百事可乐/热豆浆 * 1】,小食：【香滑蒸蛋/外婆菜/咖喱鱼丸 * 1】,配菜：【生菜王/田园彩豆 * 1】,主食：【香菇鸡腿肉饭/酸菜卤肉饭/鱼香茄子饭/排骨拼鸡腿肉饭 * 1】",10:00-20:00,南宁市,高铁,境内,中国,广西壮族自治区,安检后,候车厅南面3楼
郴州西站,N03506,舜华鸭蛋面,正常使用,餐食体验厅,"汤品：【老鸭汤 * 1】,小食：【小吃 * 1】,主食：【舜华牛肉饭 * 1】",06:30-20:00,郴州市,高铁,境内,中国,湖南省,安检后,安检后左边
广州南站,N03576,遇见小面(B6、B7检票口上方),正常使用,餐食体验厅,"饮品：【可乐/酸梅汤（2选1） * 1】,配菜：【卤蛋 * 1】,主食：【超级碗(多拼浇头面) * 1】",06:00-22:00,广州市,高铁,境内,中国,广东省,安检后,B区B6、B7检票口上方
深圳北站,N03667,蒸浏记,正常使用,餐食体验厅,"汤品：【海带猪骨汤/玉米猪骨汤 * 1】,配菜：【醋溜土豆丝/蒸水蛋/青菜 * 1】,主食：【香芋排骨 * 1,白米饭 * 1】",06:30-20:00,深圳市,高铁,境内,中国,广东省,安检后,A3检票口楼上
成都东站,N03712,印象川之味,正常使用,餐食体验厅,"汤品：【大骨汤 * 1】,配菜：【麻婆豆腐 * 1,素菜 * 1】,主食：【回锅肉 * 1,米饭 * 1】",10:30-18:30,成都市,高铁,境内,中国,四川省,安检后,B6检票口后面
北京南站,N03720,李先生牛肉面大王（2店）,正常使用,餐食体验厅,"饮品：【可乐 * 1】,配菜：【秘制白切鸡（小份） * 1】,主食：【李先生牛肉面 * 1】",08:30-21:00,北京市,高铁,境内,中国,北京市,安检后,出站口2旁边
北京南站,N03721,李先生牛肉面大王（3店）,正常使用,餐食体验厅,"饮品：【可乐 * 1】,配菜：【秘制白切鸡（小份） * 1】,主食：【李先生牛肉面 * 1】",08:30-21:00,北京市,高铁,境内,中国,北京市,安检后,出站口4旁边
北京南站,N03722,李先生牛肉面大王（5店）,正常使用,餐食体验厅,"饮品：【可乐 * 1】,配菜：【酥皮肉夹馍 * 1】,主食：【李先生招牌牛肉面 * 1】",06:30-19:00,北京市,高铁,境内,中国,北京市,安检后,出发层3A/4A检票口后面
武汉站,N03750,遇见小面(B5检票口),正常使用,餐食体验厅,"饮品：【可乐/酸梅汤（2选1） * 1】,配菜：【卤蛋 * 1】,主食：【超级碗(多拼浇头面) * 1】",06:00-21:00,武汉市,高铁,境内,中国,湖北省,安检后,B候车区二楼，B5检票口
长沙南站,N04131,蒸浏记（B2检票口）,正常使用,餐食体验厅,"汤品：【海带猪骨汤/玉米猪骨汤 * 1】,配菜：【鸡汁油豆腐/百合蒸南瓜/白灼时蔬 * 1】,主食：【豆角红烧肉 * 1,白米饭 * 1】",05:30-21:00,长沙市,高铁,境内,中国,湖南省,安检后,B2检票口附近
北京西站,N04232,真功夫,正常使用,餐食体验厅,"饮品：【金杏蜜桃汁/百事可乐/热豆浆 * 1】,小食：【香滑蒸蛋/外婆菜 * 1】,配菜：【生菜王/西兰花 * 1】,主食：【排骨拼鸡腿肉饭/冬(香)菇鸡腿肉饭/酸菜卤肉饭/鱼香茄子饭/土豆烧肉饭  * 1】",10:00-20:00,北京市,高铁,境内,中国,北京市,安检后,北广场2层进站口检票口3旁
东莞南站,N04233,蒸浏记,正常使用,餐食体验厅,"汤品：【海带猪骨汤/玉米猪骨汤 * 1】,配菜：【鸡汁油豆腐/百合蒸南瓜/白灼时蔬 * 1】,主食：【豆角红烧肉 * 1,白米饭 * 1】",07:00-19:30,东莞市,高铁,境内,中国,广东省,安检后,候车区B区3-4号检票口旁
昆明站,N04245,德克士,正常使用,餐食体验厅,"饮品：【柠檬汁 * 1】,小食：【薯条 * 1】,主食：【炸鸡 * 1】",08:00-20:00,昆明市,高铁,境内,中国,云南省,安检后,北进站口一楼（过安检进站后，一楼东北角）
广州南站,N04251,遇见小面(A5检票口上方),正常使用,餐食体验厅,"饮品：【可乐/酸梅汤（2选1） * 1】,配菜：【卤蛋 * 1】,主食：【超级碗(多拼浇头面) * 1】",05:30-22:00,广州市,高铁,境内,中国,广东省,安检后,A5检票口上方夹层
重庆北站,N04276,煎饼道,正常使用,餐食体验厅,"饮品：【豆浆 * 1,小米粥 * 1】,主食：【原味肉松煎饼 * 1,香酥鸡柳煎饼 * 1】",08:00-20:00,重庆市,高铁,境内,中国,重庆市,安检后,13A-14A检票口之间
成都东站,N04277,Tims咖啡,正常使用,餐食体验厅,"饮品：【美式 * 1】,小食：【芝士鸡腿肉贝果堡 * 1】",08:00-20:00,成都市,高铁,境内,中国,四川省,安检后,B4检票口附近
武汉站,N04337,遇见小面(到达层),正常使用,餐食体验厅,"饮品：【可乐/酸梅汤（2选1） * 1】,配菜：【卤蛋 * 1】,主食：【超级碗(多拼浇头面) * 1】",07:00-21:00,武汉市,高铁,境内,中国,湖北省,到达区,北侧出站厅由西向东第三间
无锡站,N04368,李先生牛肉面大王,正常使用,餐食体验厅,"饮品：【可乐 * 1】,配菜：【小菜3选 1（海带丝/土豆丝/油菜尖） * 1】,主食：【新疆番茄牛腩面 * 1】",08:00-19:30,无锡市,高铁,境内,中国,江苏省,安检前,北广场二楼
合肥南站,N04369,李先生牛肉面大王,正常使用,餐食体验厅,"饮品：【可乐 * 1】,配菜：【小菜3选 1（海带丝/土豆丝/油菜尖） * 1】,主食：【新疆番茄牛腩面 * 1】",09:00-20:00,合肥市,高铁,境内,中国,安徽省,到达区,到达层出站口
重庆西站,N04423,老太婆摊摊面,正常使用,餐食体验厅,"饮品：【豆浆 * 1】,配菜：【卤蛋 * 1,牛肉浇头 * 1】,主食：【小炒黄牛肉套饭 * 1】",09:00-18:00,重庆市,高铁,境内,中国,重庆市,安检后,1A-3A检票口楼上
奉节站,N04424,书亦烧仙草,正常使用,餐食体验厅,"饮品：【一桶水果茶 * 1】,甜点：【法丽兹果仁曲奇棒 * 1,欧诺仕注心饼干 * 1】",09:00-19:00,重庆市,高铁,境内,中国,重庆市,安检后,过安检后
奉节站,N04425,白万面点,正常使用,餐食体验厅,"饮品：【豆浆 * 1】,配菜：【牛肉浇头 * 1】,主食：【泡椒鸡杂面 * 1】",09:00-19:00,重庆市,高铁,境内,中国,重庆市,安检后,过安检后
贵阳北站,N04426,龙记山城汤圆,正常使用,餐食体验厅,"小食：【20售价零食 * 1】,主食：【红沙酿酿小圆子 * 1】",08:00-19:00,贵阳市,高铁,境内,中国,贵州省,安检后,26B、27B检票口楼上
广州南站,N04427,书亦烧仙草(3店),正常使用,餐食体验厅,"饮品：【书亦烧仙草中杯 * 1,牛奶烧仙草中杯 * 1,生椰烧仙草 * 1】",08:00-21:00,广州市,高铁,境内,中国,广东省,安检后,B20、B21检票口楼上
徐州东站,N04435,真功夫,正常使用,餐食体验厅,"饮品：【四季猪骨汤/金杏蜜桃汁/百事可乐/醇香豆浆 * 1】,配菜：【生菜王/田园彩豆/西兰花 * 1,香滑蒸蛋/外婆菜 * 1】,主食：【冬菇鸡腿肉饭/酸菜卤肉饭/鱼香茄子饭/梅菜扣肉饭 * 1】",10:00-20:30,徐州市,高铁,境内,中国,江苏省,安检后,东广场安检内三楼4A检票口楼上
南昌西站,N04439,宴归珍南昌瓦罐汤,正常使用,餐食体验厅,"汤品：【瓦罐汤 * 1】,饮品：【可乐 * 1】,主食：【牛肉拌粉 * 1,小菜 * 1】",06:00-20:00,南昌市,高铁,境内,中国,江西省,安检后,南区商业夹层西边，检票口B20，B21楼上
广州南站,N04473,火宫殿(B2检票口上方),正常使用,餐食体验厅,"饮品：【可乐可乐(罐装330ml) * 1】,配菜：【卤鸡蛋 * 1】,主食：【红烧牛腩粉 * 1】",08:00-21:00,广州市,高铁,境内,中国,广东省,安检后,B2检票口上方夹层
石家庄站,N04484,真功夫,正常使用,餐食体验厅,"饮品：【金杏蜜桃汁/百事可乐/热豆浆 * 1】,配菜：【生菜王/西兰花 * 1,香滑蒸蛋/外婆菜 * 1】,主食：【排骨拼鸡腿肉饭/冬(香)菇鸡腿肉饭/酸菜卤肉饭/鱼香茄子饭/土豆烧肉饭 * 1】",07:00-20:00,石家庄市,高铁,境内,中国,河北省,安检后,候车室高架夹层西北角X11号。
哈尔滨站,N04491,李先生牛肉面大王,正常使用,餐食体验厅,"饮品：【可乐 * 1】,配菜：【小菜3选 1（海带丝/土豆丝/油菜尖） * 1】,主食：【番茄牛肉面 * 1】",10:00-20:00,哈尔滨市,高铁,境内,中国,黑龙江省,安检后,八号-九号检票口
湛江西站,N04513,真功夫,正常使用,餐食体验厅,"饮品：【豆浆 * 1,金杏蜜桃汁 * null】,配菜：【外婆菜 * 1】,主食：【香汁排骨饭套餐 * 1,冬（香）菇鸡腿肉饭套餐 * 1,酸菜卤肉饭套餐 * 1,鱼香茄子饭套餐 * 1】",06:30-22:00,湛江市,高铁,境内,中国,广东省,安检后,二楼候车大厅
衡阳东站,N04534,蒸浏记,正常使用,餐食体验厅,"汤品：【海带猪骨汤/玉米猪骨汤 * 1】,配菜：【鸡汁油豆腐/百合蒸南瓜/白灼时蔬 * 1】,主食：【豆角红烧肉 * 1,白米饭 * 1】",06:30-22:00,衡阳市,高铁,境内,中国,湖南省,安检前,出站口
深圳北站,N04535,蒸浏记,正常使用,餐食体验厅,"汤品：【海带猪骨汤/玉米猪骨汤 * 1】,配菜：【醋溜土豆丝/蒸水蛋/青菜 * 1】,主食：【香芋排骨 * 1,白米饭 * 1】",06:00-21:00,深圳市,高铁,境内,中国,广东省,安检后,B19检票口楼上夹层
张家界西站,N04536,蒸浏记,正常使用,餐食体验厅,"汤品：【海带猪骨汤/玉米猪骨汤 * 1】,配菜：【鸡汁油豆腐/百合蒸南瓜/白灼时蔬 * 1】,主食：【豆角红烧肉 * 1,白米饭 * 1】",07:00-21:00,张家界市,高铁,境内,中国,湖南省,安检后,候车室内
虎门站,N04537,蒸浏记,正常使用,餐食体验厅,"汤品：【海带猪骨汤/玉米猪骨汤 * 1】,配菜：【鸡汁油豆腐/白灼时蔬 * 1】,主食：【豆角红烧肉 * 1,白米饭 * 1】",06:30-20:00,东莞市,高铁,境内,中国,广东省,安检后,A检票口
广州白云站,N04585,遇见小面,正常使用,餐食体验厅,"饮品：【可乐/酸梅汤（2选1） * 1】,配菜：【卤蛋 * 1】,主食：【超级碗(多拼浇头面)+卤蛋+ * 1】",06:00-22:00,广州市,高铁,境内,中国,广东省,安检后,5A检票口楼上
北京丰台站,N04586,真功夫,正常使用,餐食体验厅,"饮品：【四季猪骨汤/金杏蜜桃汁/百事可乐/热豆浆 * 1】,配菜：【生菜王/西兰花 * 1,香滑蒸蛋/外婆菜 * 1】,主食：【排骨拼鸡腿肉饭/冬(香)菇鸡腿肉饭/酸菜卤肉饭/鱼香茄子饭/土豆烧肉饭 * 1】",10点后-营业结束,北京市,高铁,境内,中国,北京市,安检后,东南岛（东二层进站口旁餐饮区）
