机场名称,餐厅编码,餐厅名称,餐厅状态,套餐类型,套餐内容,套餐供应时间,站点类型,航站楼,出发类型,安检类型,位置指引,境内外,机场编码,城市,省份
乌鲁木齐地窝堡国际机场,N02643,康师傅私房牛肉面（10号登机口）,正常使用,餐食体验厅,"饮品：【柠檬红茶/可乐 * 1】,小食：【红烧牛腹肉一份60g * 1,卤蛋 * 1,孜然烤翅一对 * 1】,配菜：【小菜任选2份(四川泡菜/蜜汁美人海藻/三彩花生) * 1】,主食：【至臻金牌牛三宝面 * 1】",6：00-航班结束,机场,T2航站楼,国内出发,安检后,10登机口对面,境内,URC,乌鲁木齐市,新疆维吾尔自治区
杭州萧山国际机场,N02678,楼外楼,正常使用,餐食体验厅,"饮品：【西瓜汁 * 1】,配菜：【口口脆笋 * 1】,主食：【酸菜鱼 * 1,米饭 * 1】",09:00-21:30,机场,T3航站楼,国内出发,安检后,CJ-2/3-B-2,境内,HGH,杭州市,浙江省
杭州萧山国际机场,N02677,舌尖尖,正常使用,餐食体验厅,"饮品：【西瓜汁/龙井茶一杯 * 1】,小食：【老杭城白切鸡 * 1,煎蛋一个 * 1,肉夹馍 * 1】,配菜：【酸辣土豆丝/麻辣海带丝 * 1】,主食：【酸菜牛肉拉面 * 1】",05:40-21:30,机场,T3航站楼,国内出发,安检后,安检内安检口正上方美食城,境内,HGH,杭州市,浙江省
杭州萧山国际机场,N02676,苏浙汇,正常使用,餐食体验厅,"饮品：【酸梅汤 * 1】,配菜：【苏浙招牌汤包 * 1,养生海带丝 * 1】,主食：【黑叉烧葱油拌面 * 1】",05:40-21:30,机场,T3航站楼,国内出发,安检后,安检内安检口正上方美食城,境内,HGH,杭州市,浙江省
桂林两江国际机场,N02189,重庆小面,正常使用,餐食体验厅,"汤品：【海带排骨汤 * 1】,饮品：【豆浆 * 1】,小食：【水果 * 1,烤肠 * 1,单份扣肉 * 1】,配菜：【凉拌小菜 * 1】,主食：【排骨米饭 * 1】",06:30-22:00,机场,T2航站楼,国内出发,安检后,进安检左手边下三楼直走50米,境内,KWL,桂林市,广西壮族自治区
北京大兴国际机场,N02772,喜粤8号,正常使用,餐食体验厅,"饮品：【喜粤青柠苏打水 * 1】,配菜：【脆炸鱼皮 * 1,秘制芥菜丝 * 1】,主食：【潮州海鲜米粉 * 1】",06:00-22:00,机场,主航站楼,国内出发,安检后,D60登机口附近,境内,PKX,北京市,北京市
襄阳刘集机场,N02698,迪欧咖啡,正常使用,餐食体验厅,"饮品：【柠檬红茶 * 1】,甜点：【提拉米苏 * 1】,配菜：【蔬菜沙拉 * 1】,主食：【西冷牛排 * 1】",07:30-22:00,机场,T2航站楼,国内出发,安检后,A区二楼手扶电梯口,境内,XFN,襄阳市,湖北省
福州长乐国际机场,N02701,阿香米线,正常使用,餐食体验厅,"饮品：【冻柠乐 * 1】,小食：【炸酥肉 * 1,阿香肉串 * 1】,主食：【酸菜肥牛米线 * 1】",06:00-21:00,机场,T1航站楼,国内出发,安检后,14号登机口附近,境内,FOC,福州市,福建省
襄阳刘集机场,N02717,湖北名小吃(安检后),正常使用,餐食体验厅,"饮品：【西湖龙井 * 1】,小食：【中果盘 * 1】,主食：【牛肉饭套餐(含牛肉、时令小炒、水果、汤、米饭、咸菜) * 1】",07:30-22:00,机场,T2航站楼,国内出发,安检后,02登机口对面,境内,XFN,襄阳市,湖北省
广州白云国际机场,N02718,美颐美,正常使用,餐食体验厅,"汤品：【椰子鸡汤 * 1】,饮品：【百香果金桔汁 * 1】,小食：【咖喱鱼丸 * 1,鲍汁酱骨架2块 * 1】,配菜：【菜心 * 1,酸辣云耳 * 1】,主食：【鲍汁排骨饭 * 1】",10:00-22:00,机场,T1航站楼,国内出发,安检后,B区221登机口旁,境内,CAN,广州市,广东省
上海浦东国际机场,N02789,妹记,正常使用,餐食体验厅,"饮品：【柠檬茶（冷） * 1】,配菜：【四川香肠 * 1,白灼时蔬 * 1】,主食：【青椒肉丝饭 * 1】",09:30-19:30,机场,S2国内卫星厅,国内出发,安检后,H190登机口边上,境内,PVG,上海市,上海市
三亚凤凰国际机场,N02823,粉仔巷,正常使用,餐食体验厅,"汤品：【盐焗鸡一份 * 1,热狗肠一根 * 1】,配菜：【酸梅汤一杯 * 1】,主食：【牛肉抱罗粉 * 1】",06:00-21:00,机场,T2航站楼,国内出发,安检后,216登机口附近,境内,SYX,三亚市,海南省
三亚凤凰国际机场,N02822,小福王·拌饭研究所,正常使用,餐食体验厅,"汤品：【盐焗鸡一份 * 1,热狗肠一根 * 1】,配菜：【酸梅汤一杯 * 1】,主食：【牛肉抱罗粉 * 1】",09:30-22:30,机场,T2航站楼,国内出发,安检后,216登机口附近,境内,SYX,三亚市,海南省
珠海金湾机场,N02795,克茗冰室（A区）,正常使用,餐食体验厅,"饮品：【小熊冻柠茶 * 1】,小食：【鱼蛋 * 1,牛筋丸 * 1,瑞士鸡中翅 * 1,菠萝油 * 1】,配菜：【白灼生菜 * 1】,主食：【黯然销魂饭 * 1,一次性餐具包 * 1】",07:00-22:00,机场,主航站楼,国内出发,安检后,A区3号登机口对面,境内,ZUH,珠海市,广东省
青岛胶东国际机场,N02820,正斗粥面专家,正常使用,餐食体验厅,"饮品：【冻柠茶 * 1】,主食：【干炒牛河 * 1,白灼时蔬 * 1】",06:00-19:00,机场,主航站楼,国内出发,安检后,42—65登机口指廊东航贵宾厅楼下,境内,TAO,青岛市,山东省
杭州萧山国际机场,N02858,Tims咖啡,正常使用,餐食体验厅,"甜点：【kis糖 * 1】,小食：【蓝莓贝果 * 1,开心果贝果 * 1,烟熏风味烤肠 * 1】,主食：【拿铁 * 1,燕麦拿铁 * 1】",07:00-22:00,机场,T3航站楼,国内出发,安检后,B24登机口斜对面,境内,HGH,杭州市,浙江省
杭州萧山国际机场,N02863,秦云老太婆摊摊面(安检后),正常使用,餐食体验厅,"饮品：【可乐/雪碧 * 1】,配菜：【海带丝 * 1,白灼青菜 * 1,麻辣牛肚 * 1,凉拌黄瓜 * 1,卤鸡腿 * 1】,主食：【摊摊牛肉面（粉）/摊摊排骨面（粉） * 1】",05:30-就近航班结束,机场,T3航站楼,国内出发,安检后,北指廊27号登机口楼上,境内,HGH,杭州市,浙江省
青岛胶东国际机场,N02868,青岛啤酒（啤酒料理）,正常使用,餐食体验厅,"饮品：【原浆啤酒1杯 * 1】,主食：【三宫格麻辣小海鲜（毛豆、辣卤蛤蜊、马步鱼） * 1,猪肉白菜水饺10只 * 1】",06:00-航班结束,机场,主航站楼,国内出发,安检后,安检后右转喷泉广场附近,境内,TAO,青岛市,山东省
南昌昌北国际机场,N02875,小六家拌面,正常使用,餐食体验厅,"饮品：【鲜榨果汁 * 1】,甜点：【提拉米苏/芒果慕斯/黑森林 * 1,美式/拿铁 * 1】,主食：【肥肠拌面/粉 * 1】",06:00-22:00,机场,T2航站楼,国内出发,安检后,207-211登机口旁,境内,KHN,南昌市,江西省
杭州萧山国际机场,N02876,老娘舅(T3安检后),正常使用,餐食体验厅,"饮品：【桂圆红枣豆浆 * 1】,配菜：【鱼香肉丝 * 1,单个狮子头 * 1,银鱼蒸蛋 * 1,西兰花 * 1】,主食：【土豆烧牛肉 * 1,米饭 * 1】",09:30-20:00,机场,T3航站楼,国内出发,安检后,过安检后上方夹层,境内,HGH,杭州市,浙江省
杭州萧山国际机场,N02877,老娘舅(32登机口旁),正常使用,餐食体验厅,"饮品：【桂圆红枣豆浆 * 1】,配菜：【鱼香肉丝 * 1,单个狮子头 * 1,银鱼蒸蛋 * 1,西兰花 * 1】,主食：【土豆烧牛肉 * 1,米饭 * 1】",09:30-20:00,机场,T3航站楼,国内出发,安检后,32登机口旁,境内,HGH,杭州市,浙江省
常州奔牛机场,N02878,老娘舅,正常使用,餐食体验厅,"饮品：【桂圆红枣豆浆 * 1】,配菜：【鱼香肉丝 * 1,单个狮子头 * 1,银鱼蒸蛋 * 1,西兰花 * 1】,主食：【土豆烧牛肉 * 1,米饭 * 1】",09:30-20:00,机场,主航站楼,国内出发,安检后,6号登机口对面,境内,CZX,常州市,江苏省
北京大兴国际机场,N02902,老舍茶馆,正常使用,餐食体验厅,"饮品：【杏仁豆腐牛乳茶 * 1】,小食：【传统酱肘花 * 1,白灼蔬菜 * 1】,主食：【大碗牛肉面 * 1】",08:00-20:00,机场,主航站楼,国内出发,安检前,五层餐饮区(东区),境内,PKX,北京市,北京市
贵阳龙洞堡国际机场,N03003,江山享味,正常使用,餐食体验厅,"饮品：【金桔柠檬 * 1】,小食：【苗家酸汤鱼 * 1,泡椒肉丝 * 1】,主食：【牛肉面 * 1】",10:00-21:00,机场,T3航站楼,国内出发,安检后,407登机对面,境内,KWE,贵阳市,贵州省
贵阳龙洞堡国际机场,N03004,龙大哥黔贵特色小吃,正常使用,餐食体验厅,"饮品：【金桔柠檬 * 1】,小食：【苗家酸汤鱼 * 1,杏鲍菇炒肉 * 1,卤鸡腿 * 1】,主食：【腊味炒饭 * 1】",10:00-21:00,机场,T3航站楼,国内出发,安检后,408登机对面,境内,KWE,贵阳市,贵州省
广州白云国际机场,N02931,味千拉面（T1A区）,正常使用,餐食体验厅,"饮品：【超大可乐 * 1】,配菜：【金针菇牛肉卷(4只) * 4,海裙菜 * 1】,主食：【经典味千拉面 * 1】",08:00-22:00,机场,T1航站楼,国内出发,安检后,A127登机口旁边,境内,CAN,广州市,广东省
广州白云国际机场,N02932,味千拉面（T1B区）,正常使用,餐食体验厅,"饮品：【超大可乐 * 1】,配菜：【金针菇牛肉卷(4只) * 4,海裙菜 * 1】,主食：【经典味千拉面 * 1】",08:00-22:00,机场,T1航站楼,国内出发,安检后,B223登机口旁边,境内,CAN,广州市,广东省
海口美兰国际机场,N02956,德克士,正常使用,餐食体验厅,"饮品：【鲜橙汁 * 1】,小食：【咔滋脆皮手枪腿 * 1,魔法鸡块(6块) * 1,脆皮炸鸡 * 1,咔滋薯霸(大) * 1】,主食：【黄金Q虾堡 * 1】",07:00-22:00,机场,T2航站楼,国内出发,安检后,东南指廊32号登机口旁,境内,HAK,海口市,海南省
青岛胶东国际机场,N02961,Tims咖啡(42-65号登机口方向中央景观区),正常使用,餐食体验厅,"饮品：【澳白 * 1,加倍榛子拿铁 * 1】,小食：【烤牛肉贝果堡 * 1,麻辣嫩牛贝果堡 * 1】",07:00-18:00,机场,主航站楼,国内出发,安检后,42-65号登机口方向中央景观区,境内,TAO,青岛市,山东省
深圳宝安国际机场,N02981,麓记热卤,正常使用,餐食体验厅,"汤品：【虫草花土鸡汤 * 1】,配菜：【卤鸡蛋 * 1,素食小吃碗 * 1】,主食：【牛肉卤粉/面 * 1,大份牛肉/牛肚 * 1】",05:00-23:00,机场,卫星厅,国内出发,安检后,三层出发大厅西指廊502号登机口旁,境内,SZX,深圳市,广东省
深圳宝安国际机场,N02982,煎饼语茶,正常使用,餐食体验厅,"饮品：【招牌百香果绿茶 * 1】,配菜：【煎鸡蛋 * 1,五花肉 * 1】,主食：【麻辣小龙虾拌面 * 1,脆皮烤鸭煎饼 * 1】",5：00-23：00（2023年7月1日起用新套餐）,机场,卫星厅,国内出发,安检后,东南指廊542登机口附近。,境内,SZX,深圳市,广东省
沈阳桃仙国际机场,N03048,敏丁拌饭馆,正常使用,餐食体验厅,"饮品：【普洱1杯 * 1】,小食：【朝鲜族拌桔梗1份 * 1,煎鸡蛋1个 * 1】,主食：【烤牛肉拌饭1份 * 1】",06:00-20:00,机场,T3航站楼,国内出发,安检后,12号登机口对面,境内,SHE,沈阳市,辽宁省
北京首都国际机场,N03073,西少爷,正常使用,餐食体验厅,"饮品：【古法熬制酸梅汤 * 1,红枣醇豆浆 * 1】,主食：【腊汁牛肉夹馍 * 1,腊汁猪肉油泼面 * 1,金牌鲜肉小馄饨(大碗) * 1,炝拌莲花白 * 1】",06:00-20:00,机场,T2航站楼,国内出发,安检后,20号登机口旁边,境内,PEK,北京市,北京市
北京首都国际机场,N03074,EGG BOMB,正常使用,餐食体验厅,"饮品：【马黛清茶 * 1】,小食：【松露土豆泥(迷你杯) * 1,纯纯玉米杯(迷你杯) * 1,脆香辣鸡块(大份) * 1,脆香香鸡块(大份) * 1,有机无菌滑蛋 * 1,蒜香酱 * 1,火腿 * 1】,主食：【早安晨之美 * 1】",06:00-20:00,机场,T3航站楼,国内出发,安检后,隔离区A3E6-7,境内,PEK,北京市,北京市
北京首都国际机场,N03075,苏面坊,正常使用,餐食体验厅,"饮品：【山茶花牛乳茶 * 1】,配菜：【普洱溏心蛋 * 1,雪菜毛豆 * 1,姜丝 * 1,苏式小笼22 * 1】,主食：【红烧狮子头面 * 1】",06:00-20:00,机场,T3航站楼,国内出发,安检后,C31登机口附近,境内,PEK,北京市,北京市
杭州萧山国际机场,N03132,愚小面,正常使用,餐食体验厅,"饮品：【酸梅汤 * 1】,小食：【爽口泡菜 * 1,妈妈小酥肉 * 1,卤香豆干 * 1,重庆蹄花 * 1,香肠 * 1】,主食：【招牌牛肉面 * 1】",05:00-21:30,机场,T3航站楼,国内出发,安检后,禁区内，安检口正上方夹层,境内,HGH,杭州市,浙江省
杭州萧山国际机场,N03133,鸭德堡,正常使用,餐食体验厅,"饮品：【酸梅汁 * 1】,配菜：【卤蛋 * 1,卤豆腐 * 1,加鸭肠 * 1,加鸭肫 * 1,泡菜1 * 1,土豆丝 * 1】,主食：【至尊鸭血粉丝汤 * 1,鲜肉小笼包 * 1】",05:00-21:30,机场,T3航站楼,国内出发,安检后,安检口对面电梯直接上来美食城，向右走50米,境内,HGH,杭州市,浙江省
南昌昌北国际机场,N03076,苗小坛酸汤鱼,正常使用,餐食体验厅,"汤品：【鸡蛋肉饼汤 * 1】,饮品：【椰汁 * 1】,小食：【口水鸡 * 1】,主食：【麻辣牛肉面 * 1】",06:00-21:00,机场,T2航站楼,国内出发,安检后,安检口旁,境内,KHN,南昌市,江西省
长沙黄花国际机场,N03088,隆港·湘味名小吃（T1安检后隔离区内）,正常使用,餐食体验厅,"汤品：【滋补乌鸡汤/虫草花老鸭汤 * 1】,甜点：【米饭1份 * 1】,小食：【糖油粑粑/臭豆腐/素凉/金丝饼 * 1】,配菜：【培根娃娃菜/鸡汁脆笋/鱼子酱虾仁蒸蛋 * 1】,主食：【小炒黄牛肉/湖南特色肉炒肉/香芋排骨/全家福 * 1】",09:00-20:00,机场,T1航站楼,国内出发,安检后,隔离区内南侧,境内,CSX,长沙市,湖南省
长沙黄花国际机场,N03089,隆港·湘味名小吃（T1安检后9号安检口）,正常使用,餐食体验厅,"汤品：【滋补乌鸡汤/虫草花老鸭汤 * 1】,甜点：【米饭1份 * 1】,小食：【糖油粑粑/臭豆腐/素凉/金丝饼 * 1】,配菜：【培根娃娃菜/鸡汁脆笋/鱼子酱虾仁蒸蛋 * 1】,主食：【小炒黄牛肉/湖南特色肉炒肉/香芋排骨/全家福 * 1】",09:00-20:00,机场,T1航站楼,国内出发,安检后,9号安检口旁,境内,CSX,长沙市,湖南省
长沙黄花国际机场,N03090,湖南名小吃,正常使用,餐食体验厅,"汤品：【滋补乌鸡汤/虫草花老鸭汤 * 1】,甜点：【米饭1份 * 1】,小食：【糖油粑粑/臭豆腐/素凉/金丝饼 * 1】,配菜：【培根娃娃菜/鸡汁脆笋/鱼子酱虾仁蒸蛋 * 1】,主食：【小炒黄牛肉/湖南特色肉炒肉/香芋排骨/全家福 * 1】",09:00-20:00,机场,T2航站楼,国内出发,安检后,安检内C岛39号登机口旁,境内,CSX,长沙市,湖南省
成都双流国际机场,N03094,重庆小面(LM-F-3A),正常使用,餐食体验厅,"饮品：【柠檬红茶 * 1】,配菜：【甜皮鸭 * 1,椒麻兔腿1个 * 1】,主食：【麻辣牛肉面 * 1】",05:50-22:30,机场,T2航站楼,国内出发,安检后,T2F指廊166登机口,境内,CTU,成都市,四川省
福州长乐国际机场,N03118,马兰拉面,正常使用,餐食体验厅,"饮品：【酸梅汤 * 1】,小食：【泡椒鱼皮 * 1,卤蛋 * 1,时令水果（大份） * 1】,主食：【红烧牛肉面（大份） * 1】",06:30-21:30,机场,T1航站楼,国内出发,安检后,安检内3号登机口和4号登机口旁,境内,FOC,福州市,福建省
福州长乐国际机场,N03119,郑森记,正常使用,餐食体验厅,"饮品：【酸梅汤 * 1】,小食：【泡椒鱼皮 * 1,卤蛋 * 1,时令水果（大份） * 1】,主食：【红烧牛肉面（大份） * 1】",06:30-21:30,机场,T1航站楼,国内出发,安检后,安检内3号登机口和4号登机口旁,境内,FOC,福州市,福建省
福州长乐国际机场,N03120,闽南猪角饭,正常使用,餐食体验厅,"饮品：【酸梅汤 * 1】,小食：【泡椒鱼皮 * 1,卤蛋 * 1,时令水果（大份） * 1】,主食：【红烧牛肉面（大份） * 1】",06:30-21:30,机场,T1航站楼,国内出发,安检后,安检内3号登机口和4号登机口旁,境内,FOC,福州市,福建省
海口美兰国际机场,N03131,胜博殿,正常使用,餐食体验厅,"汤品：【味增汤 * 1】,配菜：【高丽菜沙拉 * 1,塔塔酱 * 1,土豆沙拉 * 1,酱菜 * 1】,主食：【炸虾（3只）+米饭 * 1】",06:00-23:00,机场,T2航站楼,国内出发,安检后,西连廊，60号登机口旁,境内,HAK,海口市,海南省
贵阳龙洞堡国际机场,N03134,龙大哥黔贵特色小吃,正常使用,餐食体验厅,"饮品：【金桔柠檬 * 1】,配菜：【龙大哥辣子鸡 * 1,酸汤鱼 * 1】,主食：【牛肉面 * 1】",10:00-21:00,机场,T2航站楼,国内出发,安检后,B区201登机口对面,境内,KWE,贵阳市,贵州省
广州白云国际机场,N03161,遇见小面(T1安检内B204登机口旁),正常使用,餐食体验厅,"饮品：【酸梅汤(350ml） * 1】,小食：【酱板鸭 * 1,香酥带鱼 * 1】,配菜：【白灼小青菜  * 1,爽口海草 * 1,开胃泡菜 * 1】,主食：【超级碗(多拼浇头面) * 1】",06:00-22:00,机场,T1航站楼,国内出发,安检后,B204登机口旁，B208登机口对面,境内,CAN,广州市,广东省
广州白云国际机场,N03162,遇见小面(T2安检内275登机口),正常使用,餐食体验厅,"饮品：【酸梅汤(350ml） * 1】,小食：【酱板鸭 * 1,香酥带鱼 * 1】,配菜：【白灼小青菜  * 1,爽口海草 * 1,开胃泡菜 * 1】,主食：【超级碗(多拼浇头面) * 1】",06:00-22:00,机场,T2航站楼,国内出发,安检后,275登机口附近,境内,CAN,广州市,广东省
深圳宝安国际机场,N03164,遇见小面（T3安检内）,正常使用,餐食体验厅,"饮品：【酸梅汤(350ml） * 1】,小食：【酱板鸭 * 1,香酥带鱼 * 1】,配菜：【白灼小青菜  * 1,爽口海草 * 1,开胃泡菜 * 1】,主食：【超级碗(多拼浇头面) * 1】",06:00-22:00,机场,T3航站楼,国内出发,安检后,安检内出发厅45号登机口旁边,境内,SZX,深圳市,广东省
北京大兴国际机场,N03168,遇见小面1店,正常使用,餐食体验厅,"饮品：【酸梅汤(350ml） * 1】,小食：【酱板鸭 * 1,香酥带鱼 * 1】,配菜：【白灼小青菜  * 1,爽口海草 * 1,开胃泡菜 * 1】,主食：【超级碗(多拼浇头面) * 1】",10:00-20:00,机场,主航站楼,国内出发,安检后,国内混流区（东南指廊）S-F02-028商铺,境内,PKX,北京市,北京市
北京大兴国际机场,N03177,李先生牛肉面大王,正常使用,餐食体验厅,"饮品：【冰粒豆/手打柠檬茶 * 1】,配菜：【红油肚丝 * 1,经典土豆丝 * 1】,主食：【沸腾酸菜鱼 * 1,安格斯肥牛 * 1,米饭 * 1】",10:00-18:00,机场,主航站楼,国内出发,安检后,二层D指廊D63登机口附近,境内,PKX,北京市,北京市
海口美兰国际机场,N03185,沿江海南鸡饭,正常使用,餐食体验厅,"饮品：【冻颜密码椰子汁 * 1】,小食：【小吃 * 1】,配菜：【素菜 * 1】,主食：【黄金猪脚 * 1,鸡油饭 * 1】",10:00-23:00,机场,T2航站楼,国内出发,安检后,48-59号登机口方向（海航贵宾室楼下）,境内,HAK,海口市,海南省
海口美兰国际机场,N03186,荔银肠粉,正常使用,餐食体验厅,"汤品：【海带苗肉片汤 * 1】,小食：【广式炸云吞 * 1】,配菜：【白灼生菜 * 1】,主食：【干炒牛河 * 1】",06:30-23:00,机场,T2航站楼,国内出发,安检后,48号登机口对面,境内,HAK,海口市,海南省
成都双流国际机场,N03195,王记牛肉面（D-F-2D）,正常使用,餐食体验厅,"饮品：【杨梅汁 * 1】,配菜：【卤蛋 * 1,甜皮鸭1份 * 1,拌时蔬 * 1,兔头 * 1】,主食：【川味红烧小排面 * 1】",05:30-22:30,机场,T2航站楼,国内出发,安检后,135登机口旁,境内,CTU,成都市,四川省
北京大兴国际机场,N02395,小大董,正常使用,餐食体验厅,"汤品：【鸭汤 * 1】,主食：【酥不腻烤鸭半 * 1,烤鸭调料 * 1】",09:00-21:00,机场,主航站楼,国内出发,安检后,国内中心区,境内,PKX,北京市,北京市
长春龙嘉国际机场,N02328,真不同-吉林老字号美食,正常使用,餐食体验厅,"饮品：【鸭屎香柠茶 * 1】,主食：【溜肉段 * 1,手撕鸡 * 1,腊味饭 * 1】",06:00-21:00,机场,T2航站楼,国内出发,安检后,长春龙嘉国际机场国内安检内16号登机口对面旁,境内,CGQ,长春市,吉林省
南京禄口国际机场,N03219,鸭得堡（T2）,正常使用,餐食体验厅,"饮品：【冰镇刺梨汁 * 1】,配菜：【金陵盐水鸭 * 1,蟹黄汤包 * 1,茶叶蛋 * 1】,主食：【全家福鸭血粉丝汤 * 1】",06:00-20:30,机场,T2航站楼,国内出发,安检后,32号登机口旁边,境内,NKG,南京市,江苏省
青岛胶东国际机场,N03223,火记重庆小面,正常使用,餐食体验厅,"饮品：【可乐 * 1】,配菜：【流亭猪蹄 * 1】,主食：【海鲜小面 * 1】",5:00-航班结束,机场,主航站楼,国内出发,安检后,23号登机口附近,境内,TAO,青岛市,山东省
青岛胶东国际机场,N03224,紫悦·青岛名小吃（青岛美食街）,正常使用,餐食体验厅,"饮品：【百香果茶 * 1】,配菜：【流亭猪蹄半份 * 1】,主食：【全家福水饺 * 1】",05:30-21:30,机场,主航站楼,国内出发,安检后,23号登机口附近,境内,TAO,青岛市,山东省
青岛胶东国际机场,N03225,草包包子铺（青岛美食街）,正常使用,餐食体验厅,"饮品：【崂山绿茶 * 1】,甜点：【水果 * 1】,配菜：【流亭猪蹄半份 * 1】,主食：【胶东海鲜面 * 1】",05:30-21:30,机场,主航站楼,国内出发,安检后,"12—35登机口指廊头部,山东航空休息室楼下",境内,TAO,青岛市,山东省
青岛胶东国际机场,N03226,耿欢喜剁椒拌饭公司（青岛美食街）,正常使用,餐食体验厅,"饮品：【百香果茶 * 1】,配菜：【流亭猪蹄半份 * 1】,主食：【全家福水饺 * 1】",05:30-21:30,机场,主航站楼,国内出发,安检后,"12—35登机口指廊头部,山东航空休息室楼下",境内,TAO,青岛市,山东省
青岛胶东国际机场,N03227,桥香园（青岛美食街）,正常使用,餐食体验厅,"饮品：【崂山绿茶 * 1】,甜点：【水果 * 1】,配菜：【流亭猪蹄半份 * 1】,主食：【胶东海鲜面 * 1】",05:30-21:30,机场,主航站楼,国内出发,安检后,"12—35登机口指廊头部,山东航空休息室楼下",境内,TAO,青岛市,山东省
青岛胶东国际机场,N03228,船歌鱼水饺（青岛美食街）,正常使用,餐食体验厅,"饮品：【百香果茶 * 1】,配菜：【流亭猪蹄半份 * 1】,主食：【全家福水饺 * 1】",05:30-21:30,机场,主航站楼,国内出发,安检后,"12—35登机口指廊头部,山东航空休息室楼下",境内,TAO,青岛市,山东省
北京大兴国际机场,N03243,全聚德·聚德面舍,正常使用,餐食体验厅,"饮品：【可乐 * 1】,配菜：【砂锅包菜 * 1】,主食：【现烤烤鸭单人餐 * 1】",10:00-19:00,机场,主航站楼,国内出发,安检前,安检外五层西侧，挨着肯德基,境内,PKX,北京市,北京市
昆明长水国际机场,N03248,桥香园-云南过桥米线(10号登机口),正常使用,餐食体验厅,"饮品：【可乐 * 1】,主食：【天麻火腿鸡汤过桥米线 * 1,松露虫草花汽锅鸡 * 1】",05:30-22:00,机场,主航站楼,国内出发,安检后,10号登机口旁,境内,KMG,昆明市,云南省
南京禄口国际机场,N03250,赛百味（T1安检后）,正常使用,餐食体验厅,"饮品：【百事可乐两瓶 * 2】,小食：【烤翅一对 * 1,任意曲奇四块 * 1】,主食：【金枪鱼三明治 * 1,日式照烧鸡蛋香三明治 * 1】",06:30-21:00,机场,T1航站楼,国内出发,安检后,131登机口旁,境内,NKG,南京市,江苏省
南京禄口国际机场,N03251,赛百味（T2安检后）,正常使用,餐食体验厅,"饮品：【百事可乐两瓶 * 2】,小食：【烤翅一对 * 1,任意曲奇四块 * 1】,主食：【金枪鱼三明治 * 1,日式照烧鸡蛋香三明治 * 1】",06:00-20:00,机场,T2航站楼,国内出发,安检后,14号登机口对面,境内,NKG,南京市,江苏省
丽江三义机场,N03252,塞纳左岸,正常使用,餐食体验厅,"汤品：【例汤 * 1】,饮品：【香橙养乐多 * 1】,小食：【薯条 * 1】,主食：【牛肉煲仔饭 * 1】",6:20-航班结束,机场,主航站楼,国内出发,安检后,6号和7号登机口中间,境内,LJG,丽江市,云南省
榆林榆阳机场,N03253,兰州牛肉面馆,正常使用,餐食体验厅,"饮品：【酸梅汁 * 1】,配菜：【卤蛋 * 1,小菜 * 1,五香板鸭 * 1】,主食：【重庆小面 * 1】",06:00-22:00,机场,主航站楼,国内出发,安检后,6号登机口附近,境内,UYN,榆林市,陕西省
深圳宝安国际机场,N03272,Caffè MARYLING（T3航站楼）,正常使用,餐食体验厅,"甜点：【榛果芝士蛋糕 * 1,低卡天然谷物酸奶杯 * 1】,主食：【招牌牛肉汉堡 * 1】",06:00-22:00,机场,T3航站楼,国内出发,安检后,22号登机口附近,境内,SZX,深圳市,广东省
武汉天河国际机场,N03279,安南牛肉粉（2W2-03店）,正常使用,餐食体验厅,"饮品：【青柠苏打水 * 1】,配菜：【安南春卷三条 * 1,蚝油生菜 * 1】,主食：【河内鲜茄牛腩河粉 * 1】",07:00-21:00,机场,T3航站楼,国内出发,安检后,国内安检内A区14号登机口对面,境内,WUH,武汉市,湖北省
厦门高崎国际机场,N03280,吉祥馄饨,正常使用,餐食体验厅,"饮品：【酸梅汁 * 1】,配菜：【蛋黄烧麦（3个） * 1,裙带菜/海带丝 * 1】,主食：【台式牛肉面 * 1】",05:30-21:00,机场,T3航站楼,国内出发,安检后,5-6号登机口,境内,XMN,厦门市,福建省
北京首都国际机场,N03312,坤丝咖啡（3店）,正常使用,餐食体验厅,"饮品：【焦糖拿铁 * 1】,甜点：【巧克力慕斯蛋糕 * 1】,主食：【黑椒牛柳意面 * 1】",06:00-20:00,机场,T3航站楼,国内出发,安检后,CO3登机口,境内,PEK,北京市,北京市
南通兴东国际机场,N03318,老娘舅,正常使用,餐食体验厅,"饮品：【桂圆红枣豆浆 * 1】,配菜：【鱼香肉丝 * 1,单个狮子头 * 1,银鱼蒸蛋 * 1,西兰花 * 1】,主食：【土豆烧牛肉 * 1,米饭 * 1】",09:30-20:00,机场,主航站楼,国内出发,安检前,值机口向左50米,境内,NTG,南通市,江苏省
广州白云国际机场,N03319,遇见小面(T2过安检后往左直走约50米),正常使用,餐食体验厅,"饮品：【酸梅汤(350ml） * 1】,小食：【酱板鸭 * 1,香酥带鱼 * 1】,配菜：【白灼小青菜  * 1,爽口海草 * 1,开胃泡菜 * 1】,主食：【超级碗(多拼浇头面) * 1】",06:00-22:00,机场,T2航站楼,国内出发,安检后,过安检后往左直走约50米,境内,CAN,广州市,广东省
