机场名称,服务权益机构,龙腾网点编码,站点名称,省份,城市,机场编码,休息室名称,航站楼,安检类型,品质贵宾厅（是/否）,品质厅亮点,休息室位置,出发类型,服务内容,服务时长（小时）,营业时间
乌鲁木齐地窝堡国际机场,"移动,全球通,移动全球通",N04855,乌鲁木齐地窝堡国际机场,新疆维吾尔自治区,乌鲁木齐市,,南航头等舱公务舱明珠会员休息室（T3国际）,T3航站楼,安检后,是,航司休息室,安检后，18号登机口附近,国际出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
沈阳桃仙国际机场,"移动,全球通,移动全球通",N04856,沈阳桃仙国际机场,辽宁省,沈阳市,,南航头等舱公务舱休息室（T3国内）,T3航站楼,安检后,是,头等舱同款,安检后，21号登机口附近,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
沈阳桃仙国际机场,"移动,全球通,移动全球通",N04857,沈阳桃仙国际机场,辽宁省,沈阳市,,南航明珠金银卡贵宾休息室（T3国内）,T3航站楼,安检后,是,航司休息室,安检后，21号登机口附近,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
沈阳桃仙国际机场,"移动,全球通,移动全球通",N04858,沈阳桃仙国际机场,辽宁省,沈阳市,,南航头等舱公务舱明珠会员休息室（T3国际）,T3航站楼,安检后,是,头等舱同款,安检后，安检后右转免税店正对面,国际出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
哈尔滨太平国际机场,"移动,全球通,移动全球通",N04859,哈尔滨太平国际机场,黑龙江省,哈尔滨市,,南航头等舱公务舱明珠会员休息室（T2国内）,T2航站楼,安检后,是,航司休息室,安检后，32号登机口附近,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
长春龙嘉国际机场,"移动,全球通,移动全球通",N04860,长春龙嘉国际机场,吉林省,长春市,,南航头等舱公务舱休息室（T2国内）,T2航站楼,安检后,是,头等舱同款,安检后，13号登机口附近,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
长春龙嘉国际机场,"移动,全球通,移动全球通",N04861,长春龙嘉国际机场,吉林省,长春市,,南航明珠金银卡贵宾休息室（T2国内）,T2航站楼,安检后,是,航司休息室,安检后，12号登机口附近,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
大连周水子国际机场,"移动,全球通,移动全球通",N04862,大连周水子国际机场,辽宁省,大连市,,南航头等舱公务舱休息室（T1国内）,T1航站楼,安检后,是,头等舱同款,安检后，15号与14号登机口附近电梯上行或12号登机口附近电梯上行,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
大连周水子国际机场,"移动,全球通,移动全球通",N04863,大连周水子国际机场,辽宁省,大连市,,南航明珠金银卡贵宾休息室（T1国内）,T1航站楼,安检后,是,航司休息室,安检后，15号与14号登机口附近电梯上行或12号登机口附近电梯上行,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
大连周水子国际机场,"移动,全球通,移动全球通",N04864,大连周水子国际机场,辽宁省,大连市,,南航头等舱公务舱明珠会员休息室（T1国际）,T1航站楼,安检后,是,头等舱同款,安检后，23号登机口附近,国际出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
长沙黄花国际机场,"移动,全球通,移动全球通",N04867,长沙黄花国际机场,湖南省,长沙市,,南航头等舱公务舱休息室（T2国内）,T2航站楼,安检后,是,头等舱同款,安检后，28号登机口附近,国内出发,"休息室休息,小食,茶水/饮料",2小时,南航最早航班-南航最晚航班
