机场名称,服务权益机构,龙腾网点编码,站点名称,省份,城市,机场编码,休息室名称,航站楼,安检类型,品质贵宾厅（是/否）,品质厅亮点,休息室位置,出发类型,服务内容,服务时长（小时）,营业时间
重庆江北国际机场,"移动,全球通,移动全球通",N00156,重庆江北国际机场,重庆市,重庆市,CKG,A指廊头等舱休息室(T2国内),T2航站楼,安检后,否,,"安检后右转直行约50米,于12号登机口旁""头等舱休息""室指示牌处下楼至夹层",国内出发,"空调,茶水/饮料,小食,广播提醒登机,WiFi,支持虚拟卡,电视,电脑,航班显示器",2小时,early-late-flight
重庆江北国际机场,"移动,全球通,移动全球通",N00157,重庆江北国际机场,重庆市,重庆市,CKG,B指廊头等舱休息室(T2国内),T2航站楼,安检后,否,,"安检后直行约15米,B01号登机口对面",国内出发,"报刊杂志,电视,电脑,航班显示器,空调,茶水/饮料,小食,WiFi,餐食（冷/热）,支持虚拟卡",2小时,early-late-flight
重庆江北国际机场,"移动,全球通,移动全球通",N00158,重庆江北国际机场,重庆市,重庆市,CKG,C指廊头等舱休息室(T2国内),T2航站楼,安检后,否,,"安检后直行约15米,C01号登机口旁",国内出发,"WiFi,支持虚拟卡,报刊杂志,电视,电脑,航班显示器,空调,茶水/饮料,小食,广播提醒登机",2小时,early-late-flight
大理机场,"移动,全球通,移动全球通,中信银行,中信银行龙腾卡",N00160,大理机场,云南省,大理市,DLU,龙腾出行商务贵宾厅,主航站楼,安检前,是,协办值机、优先安检,面对航站楼大门口向左转直行至“云南空港百事特商务贵宾厅”，旅客进入大厅后在“百事特贵宾接待柜台”出示凭证核验，核验通过后按工作人员指引到“龙腾出行商务贵宾厅”使用服务,国内出发,"休息室安检通道,支持虚拟卡,小食,人工提醒登机,WiFi,电视,航班显示器,协办行李托运,协办登机手续,接待柜台,吸烟室,茶水/饮料",2小时,07:00_18:30
大同云冈机场,"移动,全球通,移动全球通,中信银行,中信银行龙腾卡",N00161,大同云冈机场,山西省,大同市,DAT,国内头等舱休息室,T2航站楼,安检后,否,,"安检后右转直行(每月对休息室地毯清洗时,请顾客移步贵宾室(候机楼东侧,贵宾休息室),享受贵宾休息室以及贵宾安检通道登机服务.",国内出发,"茶水/饮料,小食,支持虚拟卡,报刊杂志,电视,电脑,航班显示器",2小时,07:30 - 最晚航班
大连周水子国际机场,"移动,全球通,移动全球通,中信银行,中信银行龙腾卡",N00162,大连周水子国际机场,辽宁省,大连市,DLC,贵宾厅(A区),主航站楼,安检后,否,,"安检后,从19号登机口旁直梯下楼,到达2层贵宾厅A区",国内出发,"小食,WiFi,报刊杂志,航班显示器,空调,茶水/饮料",2小时,06:00_22:00
赣州黄金机场,"移动,全球通,移动全球通",N00239,赣州黄金机场,江西省,赣州市,KOW,头等舱休息室(T2国内）,T2航站楼,安检后,否,,"安检后，右转直行至尽头（205,206登机口附近）“2号头等舱休息室”",国内出发,"WiFi,报刊杂志,航班显示器,空调,茶水/饮料,小食,广播提醒登机,支持虚拟卡",2小时,08:50 - 最晚航班
贵阳龙洞堡国际机场,"移动,全球通,移动全球通,中信银行,中信银行龙腾卡",N00240,贵阳龙洞堡国际机场,贵州省,贵阳市,KWE,贵宾休息室(T2国内),T2航站楼,安检后,否,,安检后正对面，由右手边手扶电梯上楼或左手边楼梯步行上楼,国内出发,"电视,电脑,茶水/饮料,小食,支持虚拟卡",2小时,07:00_21:30
桂林两江国际机场,"移动,全球通,移动全球通,宁波银行,宁波银行龙腾卡",N00242,桂林两江国际机场,广西壮族自治区,桂林市,KWL,头等舱/公务舱休息室(T2国内),T2航站楼,安检后,否,,"安检后,右转130米至头等舱候机室.",国内出发,"航班信息咨询,空调,茶水/饮料,小食,支持虚拟卡",2小时,early-late-flight
桂林两江国际机场,"移动,全球通,移动全球通,宁波银行,宁波银行龙腾卡",N00244,桂林两江国际机场,广西壮族自治区,桂林市,KWL,头等舱/公务舱休息室（T2国际）,T2航站楼,安检后,否,,"安检后,自行16米至头等舱候机室.",国际出发,"空调,茶水/饮料,小食,支持虚拟卡,电视",2小时,early-late-flight
呼伦贝尔东山国际机场,"移动,全球通,移动全球通,宁波银行,宁波银行龙腾卡",N00248,呼伦贝尔东山国际机场,内蒙古自治区,呼伦贝尔市,HLD,头等舱休息室,主航站楼,安检后,否,,"安检后,2号登机口对面,公共洗手间旁",国内出发,"茶水/饮料,小食,广播提醒登机,母婴室,报刊杂志,电视,电脑,空调",2小时,最早航班-最晚航班（航班起飞前2小时开放）
淮安涟水机场,"移动,全球通,移动全球通,宁波银行,宁波银行龙腾卡",N00249,淮安涟水机场,江苏省,淮安市,HIA,CIP商务贵宾休息室3,主航站楼,安检后,否,,右手边扶梯上二楼,国内出发,"行李寄存,WiFi,独立洗手间",2小时,early-late-flight
济宁大安机场,"移动,全球通,移动全球通,宁波银行,宁波银行龙腾卡",N00253,济宁大安机场,山东省,济宁市,JNG,国内头等舱休息室,主航站楼,安检后,否,,安检后上二楼左侧.,国内出发,"航班显示器,广播提醒登机,航班信息咨询,吸烟室,母婴室,空调,行李寄存,独立洗手间,茶水/饮料,小食,WiFi,充电,电视,报刊杂志",2小时,10:00_19:00
景德镇罗家机场,"移动,全球通,移动全球通",N00254,景德镇罗家机场,江西省,景德镇市,JDZ,景德镇机场VIP头等舱休息室,主航站楼,安检后,否,,国内出发安检后二楼，三号登机口斜对面“VIP头等舱休息室”,国内出发,"WiFi,报刊杂志,航班显示器,茶水/饮料,广播提醒登机,电视",2小时,early-late-flight
嘉峪关机场,"移动,全球通,移动全球通,宁波银行,宁波银行龙腾卡",N00257,嘉峪关机场,甘肃省,嘉峪关市,JGN,国内头等舱休息室,主航站楼,安检后,否,,安检后上二层右侧.,国内出发,"电脑,航班显示器,茶水/饮料,小食,支持虚拟卡,电视,广播提醒登机,报刊杂志",2小时,early-late-flight
黄山屯溪国际机场,"移动,全球通,移动全球通",N00258,黄山屯溪国际机场,安徽省,黄山市,TXN,国内头等舱休息室,主航站楼,安检后,否,,"国内出发厅安检后,二楼直行右侧""头等舱休息室”.",国内出发,"茶水/饮料,小食,广播提醒登机,报刊杂志,电视,电脑,航班显示器,空调",2小时,08:00 - 最晚航班
昆明长水国际机场,"移动,全球通,移动全球通",N00259,昆明长水国际机场,云南省,昆明市,KMG,头等舱公务舱休息室V6（T1国内）,主航站楼,安检后,否,,"直行约500米,46号登机口旁边乘电梯下至F二层""头等舱公务舱休息室V6”",国内出发,"小食,水果,茶水/饮料,支持虚拟卡,报刊杂志,电视,电脑",2小时,05:00_22:00
昆明长水国际机场,"移动,全球通,移动全球通",N00261,昆明长水国际机场,云南省,昆明市,KMG,头等舱公务舱休息室V13,主航站楼,安检后,否,,"54号登机口旁搭乘手扶电梯下行至F二层,""头等舱公务舱休息室V13”(57号登机口旁边).",国内出发,"茶水/饮料,小食,广播提醒登机,报刊杂志,电视,电脑,航班显示器,空调",2小时,10:00_21:00
昆明长水国际机场,"移动,全球通,移动全球通",N00263,昆明长水国际机场,云南省,昆明市,KMG,国际V1头等舱休息室,主航站楼,安检后,否,,"出境检查口对面,乘楼梯上行至F三层""国际V1头等舱休息室”",国际出发,"报刊杂志,电视,电脑,航班显示器,空调,吸烟室,茶水/饮料,水果,小食,广播提醒登机,支持虚拟卡",2小时,10:00 - 山东航空最晚航班(约至00:15)
兰州中川国际机场,"移动,全球通,移动全球通",N00266,兰州中川国际机场,甘肃省,兰州市,LHW,头等舱休息室 (T1国内),T1航站楼,安检后,否,,"安检后右转,到达T1头等舱休息室",国内出发,"餐食（冷/热）,电视,电脑,航班显示器,茶水/饮料,小食,广播提醒登机,支持虚拟卡,报刊杂志",2小时,07:00_22:00
丽江三义机场,"移动,全球通,移动全球通",N00268,丽江三义机场,云南省,丽江市,LJG,京东会员尊享贵宾厅（T1国内）,主航站楼,安检后,否,,"安检后左转,直行约50米'京东会员尊享贵宾厅'.",国内出发,"报刊杂志,茶水/饮料,小食,WiFi,支持虚拟卡",2小时,07:00_22:30
丽江三义机场,"移动,全球通,移动全球通,宁波银行,宁波银行龙腾卡",N00269,丽江三义机场,云南省,丽江市,LJG,头等舱休息室（T1国内）,主航站楼,安检后,否,,安检后右侧.,国内出发,"小食,支持虚拟卡,电脑,茶水/饮料",2小时,07:00_22:30
丽江三义机场,"移动,全球通,移动全球通",N00270,丽江三义机场,云南省,丽江市,LJG,国际头等舱休息室（T1国际）,主航站楼,安检后,否,,出境检查后右侧.,国际出发,"小食,支持虚拟卡,报刊杂志,电脑,茶水/饮料",2小时,early-late-flight
绵阳南郊机场,"移动,全球通,移动全球通",N00275,绵阳南郊机场,四川省,绵阳市,MIG,头等舱候机室（T1国内）,T1航站楼,安检后,否,,"进安检B区后,往右前方五十米,电梯上三楼.",国内出发,"茶水/饮料,小食,广播提醒登机,报刊杂志,支持虚拟卡,电视,电脑",2小时,early-late-flight
南昌昌北国际机场,"移动,全球通,移动全球通",N00276,南昌昌北国际机场,江西省,南昌市,KHN,头等舱休息室(T2国内),T2航站楼,安检后,否,,安检后，左转直行50米.,国内出发,"报刊杂志,电视,电脑,茶水/饮料,小食,广播提醒登机,支持虚拟卡",2小时,early-late-flight
南宁吴圩国际机场,"移动,全球通,移动全球通",N00278,南宁吴圩国际机场,广西壮族自治区,南宁市,NNG,T2航站楼F1头等舱(安检外),T2航站楼,安检前,是,协办值机、优先安检,"E区值机岛尽头,30号安检通道，左边的""T2航站楼F1头等舱”休息室.",国内出发,"航班信息咨询,优先安检通道,报刊杂志,电视,电脑,茶水/饮料,小食,广播提醒登机,WiFi,支持虚拟卡",2小时,06:00_22:00
宁波栎社国际机场,"移动,全球通,移动全球通",N00283,宁波栎社国际机场,浙江省,宁波市,NGB,头等舱休息室3(T2国内),T2航站楼,安检后,否,,"215号登机口对面""头等舱休息室3”.",国内出发,"报刊杂志,电视,电脑,空调,茶水/饮料,小食,广播提醒登机",2小时,06:00 - 最晚航班
宁波栎社国际机场,"移动,全球通,移动全球通",N00286,宁波栎社国际机场,浙江省,宁波市,NGB,头等舱休息室1(T2国内),T2航站楼,安检后,否,,"安检后，右转直行约10米,头等舱休息室",国内出发,"支持虚拟卡,报刊杂志,电视,电脑,茶水/饮料,小食,广播提醒登机",2小时,06:30_20:30
宁波栎社国际机场,"移动,全球通,移动全球通",N00288,宁波栎社国际机场,浙江省,宁波市,NGB,国际头等舱休息室(T2国际),T2航站楼,安检后,否,,"安检后，直行至""国际头等舱休息室”.",国际出发,"报刊杂志,电视,电脑,航班显示器,空调,茶水/饮料,小食,WiFi,支持虚拟卡",2小时,early-late-flight
银川河东机场,"移动,全球通,移动全球通",N00289,银川河东机场,宁夏回族自治区,银川市,INC,头等舱候机室 (T3国内),T3航站楼,安检后,否,,"进入候机隔离厅后,从头等舱安检通道右侧,12号登机口对面乘坐扶梯上楼.",国内出发,"支持虚拟卡,报刊杂志,电视,电脑,空调,茶水/饮料,小食,广播提醒登机",2小时,06:30_22:30
泉州晋江国际机场,"移动,全球通,移动全球通",N00294,泉州晋江国际机场,福建省,泉州市,JJN,国内头等舱休息室,主航站楼,安检后,否,,5号和6号登机口对面.,国内出发,"餐食（冷/热）,报刊杂志,电视,电脑,茶水/饮料,小食,广播提醒登机,支持虚拟卡",2小时,05:30_22:00
泉州晋江国际机场,"移动,全球通,移动全球通",N00295,泉州晋江国际机场,福建省,泉州市,JJN,国际头等舱休息室,主航站楼,安检后,否,,安检后直走咖啡厅的对面.,国际出发,"独立洗手间,WiFi,充电,航班信息咨询,小食,茶水/饮料",2小时,early-late-flight
太原武宿国际机场,"移动,全球通,移动全球通",N00302,太原武宿国际机场,山西省,太原市,TYN,头等、公务舱休息室(T2国内),T2航站楼,安检后,否,,安检后，安检通道左侧203登机口旁,国内出发,"报刊杂志,航班显示器,空调,茶水/饮料,小食,广播提醒登机,支持虚拟卡",2小时,early-late-flight
太原武宿国际机场,"移动,全球通,移动全球通",N00303,太原武宿国际机场,山西省,太原市,TYN,头等舱休息室(T1国内),T1航站楼,安检后,否,,"安检后左转约100米(104和105登机口附近)""头等舱休息室”",国内出发,"小食,广播提醒登机,支持虚拟卡,报刊杂志,电视,航班显示器,空调,茶水/饮料",2小时,06:30_22:00
太原武宿国际机场,"移动,全球通,移动全球通",N00305,太原武宿国际机场,山西省,太原市,TYN,国际头等舱休息室 (T2国际),T2航站楼,安检后,否,,"18号登机口附近免税店旁""国际头等舱休息室”.",国际出发,"报刊杂志,小食,茶水/饮料",2小时,early-late-flight
腾冲驼峰机场,"移动,全球通,移动全球通",N00306,腾冲驼峰机场,云南省,保山市,TCZ,国内头等舱休息室(T2国内),T2航站楼,安检后,否,,安检后出发二层五号登机口对面持卡会员休息区,国内出发,"小食,广播提醒登机,支持虚拟卡,报刊杂志,电视,电脑,航班显示器,空调,茶水/饮料",2小时,early-late-flight
天津滨海国际机场,"移动,全球通,移动全球通",N00307,天津滨海国际机场,天津市,天津市,TSN,贵宾接待柜台(T2国内),T2航站楼,安检前,是,协办值机、优先安检,6号门对面F13-14贵宾接待柜台.,国内出发,"优先安检通道,接待柜台,支持虚拟卡,协办行李托运,协办登机手续",2小时,early-late-flight
天津滨海国际机场,"移动,全球通,移动全球通",N00309,天津滨海国际机场,天津市,天津市,TSN,3号头等舱休息室 (T1国际),T1航站楼,安检后,否,,"右转,直行至103登机口斜对面'3号头等舱休息室'或105登机口旁边“5号头等舱休息室（根据航班情况随机开放其中一个）",国际出发,"航班显示器,茶水/饮料,小食,广播提醒登机,支持虚拟卡,报刊杂志,电视,电脑",2小时,early-late-flight
威海大水泊机场,"移动,全球通,移动全球通",N00311,威海大水泊机场,山东省,威海市,WEH,头等舱休息室(一层),主航站楼,安检后,否,,安检后，右转直行即达,国内出发,"茶水/饮料,小食,广播提醒登机,支持虚拟卡,报刊杂志,电视,电脑,航班显示器",2小时,07:00 - 最晚航班
威海大水泊机场,"移动,全球通,移动全球通",N00312,威海大水泊机场,山东省,威海市,WEH,头等舱休息室(二层),主航站楼,安检后,否,,安检后，乘电梯至2楼，2号登机口对面,国内出发,"茶水/饮料,小食,广播提醒登机,支持虚拟卡,报刊杂志,电脑,航班显示器",2小时,07:30 - 最晚航班
乌海机场,"移动,全球通,移动全球通",N00313,乌海机场,内蒙古自治区,乌海市,WUA,头等舱休息室,主航站楼,安检后,否,,"安检后,上二楼左转.",国内出发,"报刊杂志,电视,小食,人工提醒登机,支持虚拟卡",2小时,最早航班-最晚航班(提前90分钟开放)
武夷山机场,"移动,全球通,移动全球通",N00319,武夷山机场,福建省,武夷山市,WUS,国内头等舱休息室,主航站楼,安检后,否,,"乘电梯至二楼,2号登机口正对面.",国内出发,"茶水/饮料,小食,广播提醒登机,支持虚拟卡,报刊杂志,电视,电脑,航班显示器",2小时,08:30 - 最晚航班
西安咸阳国际机场,"移动,全球通,移动全球通",N00320,西安咸阳国际机场,陕西省,西安市,XIY,5A迅邦达头等舱休息室(T2国内),T2航站楼,安检后,否,,"10号登机口斜对面,""迅邦达头等舱休息室”.",国内出发,"小食,广播提醒登机,支持虚拟卡,茶水/饮料,报刊杂志,电视,电脑,航班显示器,空调",2小时,10:00_18:00
西安咸阳国际机场,"移动,全球通,移动全球通",N00322,西安咸阳国际机场,陕西省,西安市,XIY,国际头等舱休息室(T3国际),T3航站楼,安检后,否,,"T2、T3支廊之间,免税店旁""国际头等舱休息室”.",国际出发,"小食,支持虚拟卡,报刊杂志,电视,电脑,航班显示器,空调,茶水/饮料",2小时,06:30_22:30
锡林浩特机场,"移动,全球通,移动全球通",N00324,锡林浩特机场,内蒙古自治区,锡林浩特市,XIL,头等舱休息室(T2国内),T2航站楼,安检后,否,,安检后四号登机口西侧,国内出发,"茶水/饮料,小食,支持虚拟卡",2小时,最早航班起飞前90分钟-最晚航班
西宁曹家堡机场,"移动,全球通,移动全球通",N00325,西宁曹家堡机场,青海省,西宁市,XNN,二号头等舱休息室,主航站楼,安检后,否,,安检后，商业街直行100米直梯或者扶梯下一楼，14号登机口旁,国内出发,"休息室休息,小食,茶水/饮料",2小时,根据当日航班运行情况开厅
西双版纳嘎洒机场,"移动,全球通,移动全球通",N00326,西双版纳嘎洒机场,云南省,景洪市,JHG,百事特商务贵宾厅,主航站楼,安检后,否,,"安检后,10号登机口斜对面",国内出发,"报刊杂志,电视,茶水/饮料,小食,广播提醒登机,支持虚拟卡",2小时,06:00_22:00
厦门高崎国际机场,"移动,全球通,移动全球通",N00328,厦门高崎国际机场,福建省,厦门市,XMN,嘉宾候机室(T3国内),T3航站楼,安检后,否,,"二楼安检后,6号登机口附近.",国内出发,"小食,广播提醒登机,WiFi,支持虚拟卡,报刊杂志,电脑,独立洗手间,空调,茶水/饮料",2小时,06:00_21:00
徐州观音国际机场,"移动,全球通,移动全球通",N00331,徐州观音国际机场,江苏省,徐州市,XUZ,国内头等舱休息室(T2国内),主航站楼,安检后,否,,"安检后,靠近8号登机口”头等舱休息室”.",国内出发,"报刊杂志,茶水/饮料,小食,广播提醒登机,支持虚拟卡,套餐多选一",2小时,08:00_22:00
烟台蓬莱国际机场,"移动,全球通,移动全球通",N00334,烟台蓬莱国际机场,山东省,烟台市,YNT,头等舱休息室3号,主航站楼,安检后,否,,"安检后右拐50米,在8号登机口对面乘扶梯上行至""头等舱休息室3号”.",国内出发,"广播提醒登机,支持虚拟卡,报刊杂志,电视,电脑,航班显示器,空调,茶水/饮料,小食",2小时,06:30 - 最晚航班
盐城南洋机场,"移动,全球通,移动全球通",N00337,盐城南洋机场,江苏省,盐城市,YNZ,头等舱休息室(T2国内),主航站楼,安检后,否,,"安检后东侧,靠近4号登机口.",国内出发,"报刊杂志,电视,电脑,航班显示器,茶水/饮料,小食,广播提醒登机,支持虚拟卡",2小时,08:30_22:00
盐城南洋机场,"移动,全球通,移动全球通",N00339,盐城南洋机场,江苏省,盐城市,YNZ,国际头等舱休息室(T1国际),T1航站楼,安检后,否,,"出境检查后左侧,靠近5,6号登机口,休息室门口有'CIP'标识.",国际出发,"小食,广播提醒登机,报刊杂志,电视,茶水/饮料,支持虚拟卡",2小时,early-late-flight
扬州泰州机场,"移动,全球通,移动全球通",N00341,扬州泰州机场,江苏省,扬州市,YTY,国内头等舱休息室,主航站楼,安检后,否,,"安检后右转,乘手扶梯至二楼(2、3号登机口对面).",国内出发,"报刊杂志,电视,电脑,航班显示器,茶水/饮料,小食,广播提醒登机,支持虚拟卡",2小时,early-late-flight
运城张孝机场,"移动,全球通,移动全球通",N00357,运城张孝机场,山西省,运城市,YCU,国内头等舱休息室,T2航站楼,安检后,否,,"安检后左侧直行,6号登机口对面.",国内出发,"报刊杂志,电视,电脑,航班显示器,茶水/饮料,小食,广播提醒登机,WiFi,支持虚拟卡",2小时,07:00 - 最晚航班
宜昌三峡机场,"移动,全球通,移动全球通,中荷人寿,中荷人寿龙腾卡",N00358,宜昌三峡机场,湖北省,宜昌市,YIH,商务贵宾室（T2国内）,主航站楼,安检前,是,协办值机、优先安检,由T2航站楼安检前出发层2号门进入，前往大厅16号、17号贵宾接待柜台。（旅客在此核销验证后，现场人员提供“贵宾休息室卡”，旅客凭“贵宾休息室卡”从右侧贵宾通道走出后左转即可到达商务贵宾楼休息使用服务）,国内出发,"航班信息咨询,独立洗手间,WiFi,打印,充电,观景区,茶水/饮料,小食,广播提醒登机,休息室安检通道,支持虚拟卡,协办行李托运,协办登机手续,报刊杂志,电视,电脑,接待柜台,航班显示器,空调,专属值机柜台,人工提醒登机",2小时,07:00_23:00
温州龙湾国际机场,"移动,全球通,移动全球通",N00362,温州龙湾国际机场,浙江省,温州市,WNZ,国际头等舱休息室（T1国际）,T1航站楼,安检后,否,,出境检查后左转10米.,国际出发,"茶水/饮料,小食,广播提醒登机,支持虚拟卡,报刊杂志,电视,电脑,航班显示器",2小时,early-late-flight
湛江吴川机场,"移动,全球通,移动全球通",N00363,湛江吴川机场,广东省,湛江市,ZHA,两舱休息室（T1国内）,T1航站楼,安检后,否,,安检后，位于中庭镂空处前，乘坐无障碍电梯或者扶手梯前往三楼“两舱休息室”,国内出发,"传真,电视,人工提醒登机,电脑,航班显示器,吸烟室,空调,报刊杂志,淋浴设施,独立洗手间,母婴室,自助餐饮,小食,茶水/饮料,酒精饮料,WiFi",2小时,最早航班 起飞前2小时- 最晚航班离港
深圳宝安国际机场,"移动,全球通,移动全球通",N00399,深圳宝安国际机场,广东省,深圳市,SZX,国际嘉宾旅客休息室(T3国际),T3航站楼,安检后,否,,"右转直行9号登机口对面""国际嘉宾旅客休息室”.",国内出发,"茶水/饮料,水果,传真,打印,报刊杂志,支持虚拟卡,小食,WiFi,餐食（冷/热）",2小时,07:00_22:00
杭州萧山国际机场,"移动,全球通,移动全球通",N00402,杭州萧山国际机场,浙江省,杭州市,HGH,禧悦贵宾接待中心(T3国内),T3航站楼,安检前,是,优先安检,"13号门进门后直行到尽头,禧悦贵宾接待中心柜台.",国内出发,"报刊杂志,航班显示器,空调,接待柜台,茶水/饮料,小食,广播提醒登机,优先安检通道,支持虚拟卡",2小时,06:30_22:00
杭州萧山国际机场,"移动,全球通,移动全球通",N00403,杭州萧山国际机场,浙江省,杭州市,HGH,易行6号厅,T3航站楼,安检后,否,,B23号登机口斜对面 九号头等舱,国内出发,"报刊杂志,电视,空调,茶水/饮料,小食,广播提醒登机,支持虚拟卡",2小时,06:30_22:00
沈阳桃仙国际机场,"移动,全球通,移动全球通",N00405,沈阳桃仙国际机场,辽宁省,沈阳市,SHE,头等舱休息室 (T3国内),T3航站楼,安检后,否,,安检后右转直行至麦当劳旁电梯上楼至右侧“机场头等舱休息室”,国内出发,"餐食（冷/热）,水果,小食,支持虚拟卡,报刊杂志,电视,电脑,独立洗手间,空调,茶水/饮料",2小时,06:30_21:00
沈阳桃仙国际机场,"移动,全球通,移动全球通",N00407,沈阳桃仙国际机场,辽宁省,沈阳市,SHE,国际头等舱休息室 (T3国际),T3航站楼,安检后,否,,出境检查后直走右转“南航休息室”旁边,国际出发,"独立洗手间,小食,茶水/饮料,空调,电脑,电视,报刊杂志",2小时,航班起飞前两小时
大连周水子国际机场,"移动,全球通,移动全球通",N00408,大连周水子国际机场,辽宁省,大连市,DLC,商旅休息室1,主航站楼,安检后,否,,"安检后,右转直行14号登机口附近乘手扶电梯上楼后,左转至尽头""商旅休息室1”.",国内出发,"广播提醒登机,报刊杂志,航班显示器,空调,茶水/饮料,小食,WiFi,支持虚拟卡",2小时,08:00_21:00
九寨沟黄龙机场,"移动,全球通,移动全球通",N00414,九寨沟黄龙机场,四川省,九寨沟市,JZH,商务贵宾休息室,主航站楼,安检后,否,,"二楼,4号登机口旁.",国内出发,"航班显示器,茶水/饮料,小食,广播提醒登机,支持虚拟卡,报刊杂志,电视",2小时,early-late-flight
徐州观音国际机场,"移动,全球通,移动全球通",N00527,徐州观音国际机场,江苏省,徐州市,,国际头等舱休息室,主航站楼,安检后,否,,"出境检查后,右转直行.",国际出发,"休息室休息,小食,茶水/饮料",2小时,根据当日航班运行情况开厅
珠海金湾机场,"移动,全球通,移动全球通",N00528,珠海金湾机场,广东省,珠海市,ZUH,珠海机场VIP贵宾厅,主航站楼,安检前,是,协办值机、优先安检,安检前，右转，延“大家乐餐厅”左侧通道直行至“珠海机场VIP贵宾厅”,国内出发,"电视,空调,茶水/饮料,小食,优先安检通道,WiFi,支持虚拟卡,协办行李托运,协办登机手续,报刊杂志",2小时,07:30_20:30
淮安涟水机场,"移动,全球通,移动全球通",N00554,淮安涟水机场,江苏省,淮安市,HIA,国际头等舱休息室,主航站楼,安检后,否,,"乘电梯上至2楼,直行至尽头.",国际出发,"报刊杂志,电视,航班显示器,空调,茶水/饮料,小食,广播提醒登机",2小时,early-late-flight
沈阳桃仙国际机场,"移动,全球通,移动全球通",N00610,沈阳桃仙国际机场,辽宁省,沈阳市,SHE,易登机接待中心(T3国内),T3航站楼,安检前,是,协办值机、优先安检,"3号门旁""易登机接待中心”.",国内出发,"优先安检通道,支持虚拟卡,协办行李托运,协办登机手续,餐食（冷/热）,报刊杂志,航班显示器,空调,接待柜台,茶水/饮料,水果,小食,广播提醒登机",2小时,06:30_21:00
大庆萨尔图机场,"移动,全球通,移动全球通",N00611,大庆萨尔图机场,黑龙江省,大庆市,DQA,头等舱休息室,主航站楼,安检后,否,,"安检后上至二楼直行10米,右侧.",国内出发,"报刊杂志,电视,电脑,茶水/饮料,广播提醒登机,支持虚拟卡",2小时,最早航班-最晚航班（航班起飞前100分钟可使用休息室）
呼伦贝尔东山国际机场,"移动,全球通,移动全球通",N00615,呼伦贝尔东山国际机场,内蒙古自治区,呼伦贝尔市,HLD,头等舱休息室(T2国内),T2航站楼,安检后,否,,"10号登机口附近""头等舱休息室”.",国内出发,"茶水/饮料,小食,报刊杂志",2小时,early-late-flight
牡丹江海浪机场,"移动,全球通,移动全球通,中荷人寿,中荷人寿龙腾卡",N00632,牡丹江海浪机场,黑龙江省,牡丹江市,MDG,国际头等舱休息室,主航站楼,安检后,否,,"右转30米,'国际头等舱休息室'.",国际出发,"茶水/饮料,报刊杂志,电视,电脑,空调,小食,广播提醒登机,支持虚拟卡",2小时,early-late-flight
牡丹江海浪机场,"移动,全球通,移动全球通,中荷人寿,中荷人寿龙腾卡",N00652,牡丹江海浪机场,黑龙江省,牡丹江市,MDG,国内头等舱休息室,主航站楼,安检后,否,,安检后直行5米左侧.,国内出发,"报刊杂志,电视,电脑,空调,茶水/饮料,小食,广播提醒登机,支持虚拟卡",2小时,early-late-flight
广州白云国际机场,"移动,全球通,移动全球通,宁波银行,宁波银行龙腾卡,中信银行,中信银行龙腾卡",N00653,广州白云国际机场,广东省,广州市,CAN,深航头等舱休息室(T1国内),T1航站楼,安检后,是,头等舱同款,B区三层，安检后，右转直行500米左右,国内出发,"电视,电脑,独立洗手间,空调,茶水/饮料,小食,广播提醒登机,按摩椅,WiFi,支持虚拟卡,餐食（冷/热）",2小时,06:30_21:30
南京禄口国际机场,"移动,全球通,移动全球通",N00654,南京禄口国际机场,江苏省,南京市,NKG,商务贵宾休息室V6(T2国内),T2航站楼,安检后,否,,11号与12号登机口对面,国内出发,"报刊杂志,电视,独立洗手间,空调,儿童游乐区,茶水/饮料,小食,广播提醒登机,WiFi,支持虚拟卡",2小时,05:20 - 最晚航班
南京禄口国际机场,"移动,全球通,移动全球通",N00655,南京禄口国际机场,江苏省,南京市,NKG,接待柜台(T2国内),T2航站楼,安检前,是,优先安检、安检后休息室,"出发层，安检前，C、D岛中间，登机问询处”验证.(出示服务凭证核销后,可换取优先安检通道券和商务贵宾休息室(V6)接待券)",国内出发,"接待柜台,优先安检通道,支持虚拟卡",2小时,05:20_22:00
南京禄口国际机场,"移动,全球通,移动全球通,中荷人寿,中荷人寿龙腾卡",N00660,南京禄口国际机场,江苏省,南京市,NKG,国际头等舱V7候机室 (T2国际),T2航站楼,安检后,否,,"左转乘电梯上二楼""V7国际头等舱休息室”.",国际出发,"WiFi,支持虚拟卡,报刊杂志,电视,广播提醒登机,餐食（冷/热）,独立洗手间,空调,茶水/饮料,小食",2小时,05:20 - 最晚航班
厦门高崎国际机场,"移动,全球通,移动全球通",N00662,厦门高崎国际机场,福建省,厦门市,XMN,7号国际头等舱休息室 (T3国际),T3航站楼,安检后,否,,"17号登机口乘手扶梯上楼""7号国际头等舱休息室 ”.",国际出发,"航班信息咨询,酒精饮料,水果,面食,WiFi,打印,充电,电视,航班显示器,空调,茶水/饮料,小食,餐食（冷/热）,报刊杂志,支持虚拟卡",2小时,07:00_20:00
天津滨海国际机场,"移动,全球通,移动全球通",N00664,天津滨海国际机场,天津市,天津市,TSN,VIP13号头等舱 (T2国内),T2航站楼,安检后,否,,"直行350米(205号登机口旁)""VIP13号头等舱”.",国内出发,"空调,茶水/饮料,小食,广播提醒登机,支持虚拟卡",2小时,early-late-flight
